id,area,length
1,4537,92.2293165
2,2872,74.69188071
3,3048,76.2931638
4,3073,77.03362772
5,3693,85.12478457
6,2990,77.41707342
7,3556,84.32356418
8,3788,86.95241143
9,2629,74.13311404
10,5719,106.7211415
11,2665,74.36402121
12,3231,81.3042004
13,2805,77.04768244
14,3265,83.37848692
15,4301,94.91539197
16,3393,84.05848002
17,3475,84.58114773
18,4577,98.35854914
19,3028,81.27755239
20,3552,88.02937756
21,3852,92.20828955
22,3163,83.82327008
23,3910,92.58932307
24,3505,88.0017938
25,2647,76.78904267
26,3606,88.77990424
27,4136,95.74362731
28,3951,94.12263105
29,3867,92.47994738
30,3177,84.54078476
31,3987,94.17620603
32,4038,95.2470937
33,3426,88.92210563
34,3938,94.26939767
35,3636,91.40038634
36,2965,82.57014058
37,3335,87.97830505
38,3277,87.3845036
39,3446,89.40212268
40,3697,91.87618278
41,2953,82.87781414
42,3670,92.21294021
43,3415,89.49579817
44,3860,94.63650283
45,3271,87.41286344
46,3657,92.43690606
47,3494,90.07527599
48,3899,95.37622831
49,2522,77.09079003
50,3812,95.00364795
51,3210,87.98665592
52,5425,113.5134456
53,3293,88.11593906
54,4935,108.6173366
55,3869,96.60035011
56,3900,95.17012555
57,4571,103.8253162
58,3746,93.9988852
59,4607,105.4041588
60,3466,91.05330784
61,4294,101.45421
62,3992,97.47084902
63,4404,102.8634748
64,4399,102.4485604
65,4042,98.37593738
66,3733,94.53973823
67,3871,96.33549432
68,4126,99.49226615
69,3886,97.77562771
70,3931,97.08081574
71,3850,96.40313032
72,4676,106.8064769
73,3764,96.23547918
74,3668,94.00787826
75,4425,104.2664186
76,4483,104.3280876
77,4196,100.7501023
78,4409,103.6999129
79,4702,106.8208342
80,4893,108.9832503
81,4108,101.3157423
82,3797,96.14211158
83,3663,94.00143053
84,3502,93.5356072
85,3866,98.2198269
86,4181,101.1105249
87,3730,95.97894614
88,3810,97.32531129
89,4623,106.8561506
90,4472,106.2162594
91,3951,100.0223281
92,4621,107.515859
93,4709,107.830578
94,4581,106.5972033
95,3243,91.13033539
96,4357,104.1688036
97,4566,107.3323015
98,3554,94.59943367
99,4686,108.0411686
100,3972,99.93602686
101,4019,99.88402006
102,4754,109.0975949
103,4608,107.2664178
104,3878,98.86216016
105,4404,105.5612967
106,3609,95.46121147
107,4493,106.1024587
108,4626,108.1493814
109,4355,104.8104398
110,3448,93.76361246
111,4459,106.3932719
112,4105,101.8422762
113,3992,101.5810398
114,4083,101.986251
115,5037,113.664381
116,3536,95.69548849
117,5011,113.8714491
118,3829,99.79394795
119,4388,106.4473886
120,4684,110.4464398
121,4319,105.3373586
152,4649,110.7022218
153,3791,99.93450497
154,4955,114.9422326
155,4996,115.7543147
156,5166,116.4812077
157,4889,113.4990733
158,4379,107.2441145
159,6374,129.5767591
160,4881,113.8160966
161,4840,113.0192872
162,4324,107.4234632
163,4098,104.3378697
164,4398,108.0842945
165,4438,108.3345087
166,4342,107.9361607
167,4076,104.1744438
168,3673,99.21752118
169,5086,117.3431374
170,4582,110.2029953
171,4444,109.3320256
172,4515,109.8055701
173,3320,104.9579846
174,3821,100.5480488
175,4117,105.5405362
176,4080,104.272109
177,5358,119.2490531
178,4429,109.3909238
179,4814,113.5868234
180,4575,111.231913
181,4173,105.9127833
182,4837,114.7953243
183,5056,116.3895145
184,4771,114.015075
185,4158,107.0147691
186,3832,101.9698018
187,6946,136.3036028
188,4188,106.5811347
189,5672,123.0789249
190,4952,115.7148758
191,4213,107.1803967
192,3467,97.97380616
193,3860,102.1971523
194,5077,117.4265099
195,3744,100.4167531
196,4374,109.0780728
197,4562,111.7569232
198,4375,109.2448278
199,4298,108.0691562
200,3206,93.52974726
201,4515,110.9722142
202,3503,98.37247663
203,4819,114.6402584
204,5206,119.6187778
205,4139,106.9162059
206,4108,106.3301589
207,4107,106.2923105
208,5786,125.5554308
209,5116,118.2361891
210,5276,120.7283328
211,4275,108.6018895
212,3716,100.698893
213,5197,119.0035819
214,4043,106.5010619
215,3709,100.7357227
216,5278,120.0379792
217,4506,111.0079213
218,4148,106.9693936
219,5896,127.0139951
220,4203,107.2992964
221,3910,104.3388145
255,5273,122.7478685
256,5371,123.9435304
257,6332,135.2490597
258,5595,126.2920083
259,4664,115.8597799
260,5762,128.4823393
261,4249,110.4531344
262,4544,115.4135356
263,4204,111.3236714
264,5258,123.1084563
265,3379,99.01478925
266,5580,127.1054624
267,5753,127.9285827
268,5471,125.8384269
269,4881,119.9345923
270,5576,126.6443526
271,5349,124.4496928
272,4417,113.719943
273,4802,118.0428891
274,5008,120.1405384
275,5350,124.8235842
276,5254,123.6906866
277,4460,113.3293145
278,5526,127.5101183
279,3882,106.1158346
280,4954,120.6979911
281,6083,133.6271788
282,4999,121.5526062
283,3662,103.894842
284,4812,118.8853189
285,4657,117.7277342
286,5250,124.2806183
287,5347,125.3970223
288,5985,132.7895598
289,4881,119.4916115
290,5667,129.0742991
291,5555,129.0807906
292,6776,141.1236288
293,5110,122.2136145
294,5117,123.8644522
295,5138,123.991228
296,4179,118.5822997
297,4023,109.419762
298,6213,135.1197917
299,5680,128.6306201
300,5259,125.1644596
301,5442,126.8097594
302,4196,111.7977586
303,3638,103.7527928
304,5256,124.904374
305,5374,126.4776571
306,6136,134.4606566
307,5228,124.5148772
308,6083,134.8275164
309,5124,124.9396755
310,4337,113.7689435
311,6171,135.8597438
312,6623,140.4063965
313,5862,133.2444458
314,5089,123.5226615
315,5791,131.629047
316,4722,119.0063356
317,4019,110.1418199
318,5455,128.2147081
319,4873,120.8171894
320,5555,129.0205405
321,4555,118.0977083
322,6375,138.0376883
323,3991,109.8486599
324,5267,126.3149145
325,6381,139.0922395
326,3799,107.4901282
327,4491,123.0370935
328,5633,130.2621314
329,4335,114.9435821
330,5263,125.9803048
331,3571,104.3276353
